name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Oil, nutmeg butter",,884.0,0.0,0.0,0.0,0.0,100.0
"Snacks, corn cakes",,387.0,83.4,23.47,1.9,8.1,2.4
"Croissants, cheese",,414.0,47.0,11.35,2.6,9.2,20.9
"Milk, fluid, sheep",,108.0,5.36,0.0,0.0,5.98,7.0
"Beef, dried, cured",,153.0,2.76,2.7,0.0,31.1,1.94
"Fish oil, menhaden",,902.0,0.0,0.0,0.0,0.0,100.0
"Rolls, egg, dinner",,307.0,52.0,4.3,3.7,9.5,6.4
"Bread, white wheat",,238.0,43.91,5.0,9.2,10.66,2.15
"Onions, raw, sweet",,32.0,7.55,5.02,0.9,0.8,0.08
"Onions, raw, welsh",,34.0,6.5,2.18,2.4,1.9,0.4
"SILK Chai, soymilk",,53.0,7.82,5.76,0.0,2.47,1.44
"Cheese, neufchatel",,253.0,3.59,3.19,0.0,9.15,22.78
"Croissants, butter",,406.0,45.8,11.26,2.6,8.2,21.0
"Carrot, dehydrated",,341.0,79.57,38.82,23.6,8.1,1.49
"Soy flour, low-fat",,372.0,30.63,9.33,16.0,49.81,8.9
"Syrups, sugar free",,52.0,12.13,0.01,0.7,0.8,0.0
"Fat, mutton tallow",,902.0,0.0,0.0,0.0,0.0,100.0
"Coffeecake, cheese",,339.0,44.3,0.0,1.0,7.0,15.2
"Lambsquarters, raw",,43.0,7.3,0.0,4.0,4.2,0.8
Vital wheat gluten,,370.0,13.79,0.0,0.6,75.16,1.85
"Sugars, granulated",,387.0,99.98,99.8,0.0,0.0,0.0
"Frankfurter, pork",,269.0,0.28,0.0,0.1,12.81,23.68
"Cookies, molasses",,430.0,73.8,17.6,1.0,5.6,12.8
"Cookies, fig bars",,348.0,70.9,46.36,4.6,3.7,7.3
Roast beef spread,,223.0,3.73,0.71,0.2,15.27,16.28
"Rice flour, brown",,363.0,76.48,0.66,4.6,7.23,2.78
"Luxury loaf, pork",,141.0,4.9,0.0,0.0,18.4,4.8
"Rye flour, medium",,349.0,75.43,1.1,11.8,10.88,1.52
"Bread, wheat bran",,248.0,47.8,9.68,4.0,8.8,3.4
Barley malt flour,,361.0,78.3,0.8,7.1,10.28,1.84
"Rice noodles, dry",,364.0,80.18,0.12,1.6,5.95,0.56
"Fish oil, sardine",,902.0,0.0,0.0,0.0,0.0,100.0
"Fish oil, herring",,902.0,0.0,0.0,0.0,0.0,100.0
"Butterbur, canned",,3.0,0.38,0.0,0.0,0.11,0.13
"SILK Nog, soymilk",,74.0,12.3,9.84,0.0,2.46,1.64
"Cheese, provolone",,351.0,2.14,0.56,0.0,25.58,26.62
"Cheese, roquefort",,369.0,2.0,0.0,0.0,21.54,30.64
"Muffins, oat bran",,270.0,48.3,8.22,4.6,7.0,7.4
"Wheat germ, crude",,360.0,51.8,0.0,13.2,23.15,9.72
"Wheat, hard white",,342.0,75.9,0.41,12.2,11.31,1.71
"Wheat bran, crude",,216.0,64.51,0.41,42.8,15.55,4.25
