name,name_mn,calories,carbohydrate,sugars,fiber,protein,fat
"Tortillas, shelf stable, flour, ready-to-bake or -fry",,297.0,49.27,2.66,2.4,8.01,7.58
"CAMPBELL'S Red and White, condensed, Beef Noodle Soup",,56.0,6.35,0.79,0.8,3.17,1.59
"USDA Commodity, cooked, frozen, beef patties with VPP",,247.0,7.89,0.0,1.4,15.64,16.94
"Potatoes, skin with salt, in skin, cooked, microwaved",,132.0,29.63,0.0,5.5,4.39,0.1
"TACO BELL, cheese and lettuce, Soft Taco with chicken",,189.0,19.69,1.3,1.2,13.3,6.35
"Snacks, unsalted, sesame seed, brown rice, rice cakes",,392.0,81.5,0.0,0.0,7.6,3.8
"Babyfood, apple and sweet potato, fruit and vegetable",,64.0,15.3,11.6,1.4,0.3,0.22
"Formulated bar, oats and chocolate, chewy, high fiber",,350.0,69.78,25.0,22.5,5.0,10.0
"Cabbage, without salt, drained, boiled, cooked, savoy",,24.0,5.41,0.0,2.8,1.8,0.09
"Cheese, shredded, part-skim, low moisture, mozzarella",,304.0,8.06,2.24,0.0,23.63,19.72
"Beverages, unsweetened, ready-to-drink, tea, WENDY'S",,1.0,0.0,0.0,0.0,0.22,0.0
"Yambean (jicama), with salt, drained, boiled, cooked",,36.0,8.23,0.0,0.0,0.72,0.09
"Fast foods, large patty; plain, cheeseburger; single",,310.0,24.07,4.67,1.7,17.29,15.97
"Chicken, raw, meat and skin, leg, broilers or fryers",,214.0,0.17,0.0,0.0,16.37,15.95
"Cheese, with vegetables, 1% milkfat, lowfat, cottage",,67.0,3.0,3.0,0.0,10.9,1.0
"Snacks, unsalted, oil-popped, home-prepared, popcorn",,500.0,58.1,0.54,10.0,9.0,28.1
"Beans, with salt, boiled, cooked, mature seeds, navy",,140.0,26.05,0.37,10.5,8.23,0.62
"Cheese, lactose reduced, 1% milkfat, lowfat, cottage",,74.0,3.2,2.6,0.6,12.4,1.0
"Cookies, sugar free, with creme filling, sugar wafer",,531.0,66.26,0.0,14.3,3.57,28.57
"Snacks, unsalted, multigrain, brown rice, rice cakes",,387.0,80.1,0.0,0.0,8.5,3.5
"Rice, cooked, enriched, parboiled, long-grain, white",,123.0,26.05,0.11,0.9,2.91,0.37
"Candies, TWIX Caramel Cookie Bars, MARS SNACKFOOD US",,502.0,64.8,48.25,1.1,4.91,24.85
"Fast foods, and sausage, cheese, with egg, croissant",,308.0,15.9,3.12,1.8,12.09,21.78
"Beverages, lemon, ready-to-drink, black, tea, NESTEA",,36.0,9.09,9.09,0.0,0.0,0.0
"Candies, low sugar or low calorie, chocolate covered",,590.0,37.68,14.63,3.5,12.39,43.27
"Beef, raw, manufacturing beef, imported, New Zealand",,119.0,0.23,0.0,0.0,21.23,3.68
"Bread, commercially prepared, plain, chapati or roti",,297.0,46.36,2.72,4.9,11.25,7.45
"Jute, without salt, drained, boiled, cooked, potherb",,37.0,7.29,1.0,2.0,3.68,0.2
"KELLOGG'S, Brown Sugar Cinnamon Roll, Wafflers, EGGO",,331.0,52.2,21.0,1.3,4.8,11.6
"Yogurt, 11 grams protein per 8 ounce, low fat, fruit",,105.0,18.6,0.0,0.0,4.86,1.41
"Yogurt, 10 grams protein per 8 ounce, low fat, fruit",,102.0,19.05,19.05,0.0,4.37,1.08
"Cereals, dry, not fortified, regular and quick, oats",,379.0,67.7,0.99,10.1,13.15,6.52
"Cereals, with salt, cooked with water, CREAM OF RICE",,52.0,11.5,0.04,0.1,0.9,0.1
"McDONALD'S, Hotcakes (with 2 pats margarine & syrup)",,272.0,46.08,20.58,0.9,4.05,8.06
"Mollusks, breaded and fried, cooked, eastern, oyster",,199.0,11.62,0.0,0.0,8.77,12.58
"Pumpkin, with salt, drained, boiled, cooked, flowers",,15.0,3.18,2.4,0.9,1.09,0.08
"Cookies, with creme filling, chocolate chip sandwich",,425.0,63.52,38.24,0.0,2.94,17.65
"Pancakes, prepared, incomplete, dry mix, whole-wheat",,208.0,29.4,0.0,2.8,8.5,6.5
"CAMPBELL'S Red and White, condensed, SCOOBY-DOO Soup",,56.0,8.73,0.79,0.8,2.38,1.59
"Cookie, chocolate-coated, with peanut butter filling",,562.0,52.9,30.9,3.5,8.1,35.3
"KASHI, Frozen Entree, Chicken Fettuccine, STEAM MEAL",,99.0,14.0,1.3,2.0,6.2,2.7
"Snack, plain, made from dried potatoes, potato chips",,545.0,55.38,0.76,2.9,4.62,35.28
"Dandelion greens, with salt, drained, boiled, cooked",,33.0,6.4,1.62,2.9,2.0,0.6
"Drumstick leaves, with salt, drained, boiled, cooked",,60.0,11.15,1.0,2.0,5.27,0.93
"CAMPBELL'S Red and White, condensed, Minestrone Soup",,71.0,13.49,2.38,2.4,3.17,0.79
"CAMPBELL'S, condensed, Homestyle Chicken Noodle Soup",,51.0,7.53,1.11,0.8,2.36,1.28
"Salad dressing, home recipe, oil, cottonseed, french",,631.0,3.4,0.0,0.0,0.1,70.2
"Noodles, without added salt, cooked, unenriched, egg",,138.0,25.16,0.4,1.2,4.54,2.07
"Lamb, raw, external fat, fresh, imported, Australian",,487.0,0.0,0.0,0.0,12.59,48.5
"Brussels sprouts, with salt, drained, boiled, cooked",,36.0,7.1,1.74,2.6,2.55,0.5
"Soup, commercial, condensed, canned, broccoli cheese",,87.0,7.7,2.12,1.8,2.1,5.3
"Snacks, chocolate chip, uncoated, soft, granola bars",,418.0,70.2,28.92,3.8,5.65,16.57
"Snacks, nut and raisin, uncoated, soft, granola bars",,454.0,63.6,0.0,5.6,8.0,20.4
"Peas, with salt, boiled, cooked, mature seeds, split",,116.0,20.51,2.9,8.3,8.34,0.39
"Mungo beans, with salt, boiled, cooked, mature seeds",,105.0,18.34,2.01,6.4,7.54,0.55
"Pizza, cooked, frozen, regular crust, cheese topping",,268.0,29.02,3.57,2.2,10.36,12.28
"Cereals ready-to-eat, plain, QUAKER OAT LIFE, QUAKER",,374.0,77.74,19.43,6.6,9.98,4.43
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",,424.0,76.23,36.28,1.1,4.67,11.14
"Beverages, decaffeinated, ready to drink, black, tea",,38.0,8.75,7.92,0.0,0.0,0.0
"Apples, without added sugar, stewed, sulfured, dried",,57.0,15.32,13.32,2.0,0.22,0.07
"HORMEL ALWAYS TENDER, Fresh Pork, Boneless Pork Loin",,145.0,0.76,0.08,0.0,19.02,7.18
"Peanut butter, vitamin and mineral fortified, chunky",,593.0,17.69,10.94,5.7,26.06,51.47
"Peanut butter, vitamin and mineral fortified, smooth",,591.0,18.75,10.47,5.6,25.72,50.81
"Swisswurst, smoked, with swiss cheese, pork and beef",,307.0,1.6,0.0,0.0,12.69,27.37
"Cereals, dry, 2 1/2 minute cook time, CREAM OF WHEAT",,355.0,71.79,0.47,4.4,11.61,1.41
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",,257.0,33.24,4.02,2.2,10.8,8.97
"Cereals ready-to-eat, HEALTH VALLEY, OAT BRAN FLAKES",,380.0,78.0,22.0,8.0,10.0,3.0
"Sweet potato, solids and liquids, syrup pack, canned",,89.0,20.93,15.4,2.5,0.98,0.2
"Beans, with salt, boiled, cooked, mature seeds, pink",,149.0,27.91,0.36,5.3,9.06,0.49
"Potatoes, without salt, skin, cooked in skin, boiled",,78.0,17.21,0.0,3.3,2.86,0.1
"Bamboo shoots, without salt, drained, boiled, cooked",,12.0,1.92,0.0,1.0,1.53,0.22
"Cereals ready-to-eat, Honey Nut Shredded Wheat, POST",,373.0,83.6,20.7,10.7,8.5,2.9
"Pork, pan-broiled, cooked, 96% lean / 4% fat, ground",,185.0,0.57,0.0,0.0,31.69,6.2
"Yogurt, 12 grams protein per 8 ounce, low fat, plain",,63.0,7.04,7.04,0.0,5.25,1.55
"Yam, without salt, or baked, drained, boiled, cooked",,116.0,27.48,0.49,3.9,1.49,0.14
"Fast foods, soft, cheese and lettuce, taco with beef",,206.0,20.23,1.57,2.9,9.25,9.75
"Sweeteners, contains sugar and sucralose, for baking",,398.0,99.53,47.05,0.0,0.0,0.0
"Rennin, prepared with whole milk, dry mix, chocolate",,96.0,13.34,0.0,0.5,3.2,3.34
"Puddings, prepared with whole milk, dry mix, tapioca",,115.0,19.43,0.0,0.0,2.84,2.89
"Cheese, no sodium added, 1% milkfat, lowfat, cottage",,72.0,2.7,2.7,0.0,12.4,1.0
"Cress, without salt, drained, boiled, cooked, garden",,23.0,3.8,3.11,0.7,1.9,0.6
"Yardlong bean, without salt, drained, boiled, cooked",,47.0,9.18,0.0,0.0,2.53,0.1
"Yogurt, lowfat, flavors other than chocolate, frozen",,139.0,21.0,21.0,0.0,8.0,2.5
"Pasta mix, unprepared, classic cheeseburger macaroni",,349.0,71.51,4.97,2.7,11.6,1.88
"PEPPERIDGE FARM, Whole Grain Honey Whole Wheat Bread",,263.0,47.7,8.1,9.8,0.01,3.5
"Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal",,376.0,80.1,21.53,9.1,7.63,5.61
"Mushrooms, with salt, drained, boiled, cooked, white",,28.0,5.29,2.34,2.2,2.17,0.47
"Lamb, raw, tongue - swiss cut, imported, New Zealand",,225.0,0.0,0.0,0.0,14.27,18.61
"Lambsquarters, without salt, drained, boiled, cooked",,32.0,5.0,0.62,2.1,3.2,0.7
"USDA Commodity, cooked, frozen, patties (100%), beef",,249.0,0.91,0.0,0.0,22.98,16.37
"CAMPBELL'S CHUNKY, Creamy Chicken and Dumplings Soup",,66.0,7.09,1.09,1.5,2.32,3.19
"Vitasoy USA, Vitasoy Organic Creamy Original Soymilk",,44.0,4.5,2.0,0.4,2.9,1.6
"Beverages, prepared with whole milk, chocolate syrup",,90.0,12.78,11.31,0.3,3.07,2.96
"McDONALD'S, Premium Grilled Chicken Classic Sandwich",,183.0,22.28,5.01,1.4,14.16,4.29
"Turnip greens, without salt, drained, boiled, cooked",,20.0,4.36,0.53,3.5,1.14,0.23
"Cookies, with raisins, prepared from recipe, oatmeal",,435.0,68.4,0.0,0.0,6.5,16.2
"Margarine-like, tub, fat-free, vegetable oil spread",,44.0,4.34,0.0,0.0,0.1,3.04
"UDI'S, Soft & Hearty Whole Grain Bread, Gluten Free",,309.0,49.09,9.81,4.9,7.25,9.34
"Turnips, with salt, drained, boiled, cooked, frozen",,21.0,3.73,1.73,2.0,1.53,0.24
"Snacks, chocolate coated, with coconut, granola bar",,531.0,55.2,34.27,6.2,5.2,32.2
"Fast foods, with cheese and sausage, english muffin",,338.0,25.28,1.98,0.5,13.28,20.67
"Biscuits, prepared from recipe, plain or buttermilk",,353.0,44.6,2.18,1.5,7.0,16.3
"SCHAR, Classic White Bread, Wheat-Free, Gluten-Free",,240.0,46.13,3.34,5.1,3.81,4.47
"Sausage, smoked, with cheddar cheese, pork and beef",,296.0,2.13,0.11,0.0,12.89,25.84
"Chard, without salt, drained, boiled, cooked, swiss",,20.0,4.13,1.1,2.1,1.88,0.08
"Waffles, ready-to-heat, frozen, lowfat, whole wheat",,257.0,49.16,4.29,4.3,7.14,3.57
"Snacks, light (baked with less oil), tortilla chips",,465.0,73.4,0.53,5.7,8.7,15.2
"Chicken breast tenders, microwaved, cooked, breaded",,252.0,17.56,0.0,0.0,16.35,12.89
"Candies, prepared-from-recipe, peanut butter, fudge",,387.0,77.75,73.36,0.7,3.78,6.59
"T.G.I. FRIDAY'S, from kid's menu, macaroni & cheese",,121.0,17.4,1.65,1.0,5.03,3.45
"PEPPERIDGE FARM, Whole Grain 100% Whole Wheat Bread",,263.0,47.2,7.4,9.3,0.01,3.5
"Pork loin, lean only, raw, bone-in, backribs, fresh",,172.0,0.0,0.0,0.0,20.85,9.84
"Soup, ready-to-serve, beef broth or bouillon canned",,7.0,0.04,0.0,0.0,1.14,0.22
"Soup, ready-to-serve, chunky, canned, bean with ham",,95.0,11.16,0.0,4.6,5.19,3.5
"Soup, ready-to-serve, canned, chicken and vegetable",,33.0,4.68,1.01,0.9,1.97,0.73
"KEEBLER, Country Style Oatmeal Cookies with Raisins",,482.0,67.0,29.9,3.6,6.5,21.3
"Cheese puffs and twists, low fat, baked, corn based",,432.0,72.35,7.29,3.6,8.5,12.1
"Beef, raw, intermuscular fat, imported, New Zealand",,602.0,0.01,0.0,0.0,6.97,63.78
"Kale, without salt, drained, boiled, cooked, frozen",,30.0,5.23,1.34,2.0,2.84,0.49
KELLOGG'S EGGO Lowfat Blueberry Nutri-Grain Waffles,,208.0,42.71,8.89,3.5,5.95,2.83
"Yogurt, 9 grams protein per 8 ounce, low fat, fruit",,99.0,18.64,18.64,0.0,3.98,1.15
"Beverages, diet, lemon, decaffeinated, instant, tea",,338.0,85.4,1.88,0.0,3.3,0.6
"Candies, HERSHEY'S MILK CHOCOLATE WITH ALMOND BITES",,568.0,51.72,44.59,3.6,9.76,35.73
"RUDI'S, Original Sandwich Bread, Gluten-Free Bakery",,320.0,52.83,8.36,3.5,3.13,10.7
"Squash, with salt, baked, cooked, butternut, winter",,40.0,10.49,1.97,3.2,0.9,0.09
"Mountain yam, without salt, steamed, cooked, hawaii",,82.0,20.0,0.0,0.0,1.73,0.08
"CAMPBELL'S Red and White, condensed, Green Pea Soup",,141.0,21.88,4.69,3.1,7.03,2.34
"Cake, prepared from recipe without frosting, yellow",,361.0,53.0,0.0,0.7,5.3,14.6
CAMPBELL'S Homestyle Harvest Tomato with Basil Soup,,45.0,9.39,6.53,0.8,0.82,0.41
"Burdock root, without salt, drained, boiled, cooked",,88.0,21.15,3.55,1.8,2.09,0.14
"Babyfood, prepared with whole milk, oatmeal, cereal",,116.0,15.3,0.0,1.1,5.0,4.1
"Pie Crust, Ready Crust, Graham Cracker, Cookie-type",,501.0,64.3,18.13,1.9,5.1,24.83
"Chicken, fried, cooked, giblets, broilers or fryers",,277.0,4.35,0.0,0.0,32.54,13.46
"Onion rings, unprepared, frozen, par fried, breaded",,258.0,30.53,0.0,1.8,3.15,14.1
"Babyfood, with tomato sauce, cheese filled, ravioli",,99.0,16.3,0.59,0.1,3.6,2.2
"Crackers, sandwich-type with cheese filling, cheese",,490.0,58.76,12.33,1.9,8.92,24.41
"Chicken, breast meat only, BBQ, rotisserie, broiler",,144.0,0.0,0.0,0.0,28.04,3.57
"Carrots, with salt, drained, boiled, cooked, frozen",,37.0,7.73,4.08,3.3,0.58,0.68
"Mung beans, with salt, boiled, cooked, mature seeds",,105.0,19.15,2.0,7.6,7.02,0.38
"Pork, unheated, boneless, separable fat, ham, cured",,515.0,1.87,0.44,0.0,7.5,53.0
"Lentils, without salt, boiled, cooked, mature seeds",,116.0,20.13,1.8,7.9,9.02,0.38
"Pizza, cooked, frozen, rising crust, cheese topping",,260.0,32.91,5.09,2.5,12.37,8.78
"Protein supplement, powder, Muscle Milk, milk based",,411.0,18.5,5.71,7.1,45.71,17.14
"Apricots, with added sugar, stewed, sulfured, dried",,113.0,29.26,0.0,4.1,1.17,0.15
"Amaranth leaves, with salt, drained, boiled, cooked",,21.0,4.11,0.0,0.0,2.11,0.18
"Ice creams, French Vanilla, No Sugar Added, BREYERS",,154.0,20.75,7.7,0.5,4.5,7.05
"Snacks, peanut butter, uncoated, soft, granola bars",,426.0,64.4,0.0,4.3,10.5,15.8
"Soup, prepared with water, mix, dry, chicken noodle",,23.0,3.67,0.31,0.1,0.84,0.55
"Chicken, meat only, thigh, BBQ, rotisserie, broiler",,193.0,0.0,0.0,0.0,24.09,10.74
"DOMINO'S 14"" Cheese Pizza, Ultimate Deep Dish Crust",,265.0,33.48,4.22,2.4,10.76,9.83
"Rice, dry, unenriched, parboiled, long-grain, white",,374.0,80.89,0.33,1.8,7.51,1.03
"Cereals, dry, Banana Bread, Instant Oatmeal, QUAKER",,368.0,75.7,29.45,6.7,8.97,4.85
"Ice cream bar, with crunch coating, stick or nugget",,358.0,37.12,21.05,1.1,2.11,25.26
"CAMPBELL'S Low Sodium Soups, Cream of Mushroom Soup",,54.0,6.38,2.01,0.0,1.01,2.68
"Soup, prepared with water, dry, chicken broth cubes",,5.0,0.62,0.0,0.0,0.39,0.12
"Pie, unenriched flour, commercially prepared, apple",,237.0,34.0,0.0,1.6,1.9,11.0
"Pork, raw, separable lean and fat, spareribs, fresh",,277.0,0.0,0.0,0.0,15.47,23.4
"Restaurant, breaded and fried, shrimp, family style",,308.0,22.29,0.91,1.5,12.67,18.67
"Kale, without salt, drained, boiled, cooked, scotch",,28.0,5.63,0.0,1.2,1.9,0.41
"McDONALD'S, McCHICKEN Sandwich (without mayonnaise)",,240.0,30.95,4.16,1.4,11.08,8.46
"Cake, prepared from recipe, biscuit-type, shortcake",,346.0,48.5,0.0,0.0,6.1,14.2
"Restaurant, chicken parmesan without pasta, Italian",,204.0,10.92,2.79,0.9,16.17,10.64
"Soybeans, with salt, drained, boiled, cooked, green",,141.0,11.05,0.0,4.2,12.35,6.4
"KEEBLER, Chocolate Malt Chunk Cookies, CHIPS DELUXE",,537.0,61.8,31.6,1.7,4.7,30.4
"KEEBLER, Dark Chocolate Chunk Cookies, CHIPS DELUXE",,518.0,64.0,31.2,2.6,4.3,27.5
"Wheat flour, bleached, enriched, all-purpose, white",,364.0,76.31,0.27,2.7,10.33,0.98
"Cereals ready-to-eat, RICE CRUNCHINS, GENERAL MILLS",,381.0,80.95,9.52,4.8,4.76,2.38
"Beverages, unsweetened, decaffeinated, instant, tea",,315.0,58.66,5.53,8.5,20.21,0.0
"Lamb, cooked, seam fat, fresh, imported, Australian",,554.0,1.55,0.0,0.0,13.81,54.72
"Pears, without added sugar, stewed, sulfured, dried",,127.0,33.81,27.41,6.4,0.91,0.31
"CAMPBELL'S Red and White, condensed, Vegetable Soup",,79.0,16.67,5.56,2.4,3.17,0.4
"Snacks, unsalted, buckwheat, brown rice, rice cakes",,380.0,80.1,0.0,0.0,9.0,3.5
"McDONALD'S, Premium Crispy Chicken Classic Sandwich",,228.0,25.46,5.37,1.4,12.08,8.68
"Lamb, raw, Intermuscular fat, imported, New Zealand",,640.0,1.26,0.0,0.0,4.63,68.53
"Cabbage, without salt, drained, boiled, cooked, red",,29.0,6.94,3.32,2.6,1.51,0.09
"Pie, no-bake type, prepared from mix, coconut cream",,276.0,28.5,0.0,0.5,2.8,17.6
"KFC, Skin and Breading, EXTRA CRISPY, Fried Chicken",,464.0,22.54,0.0,1.5,10.96,36.61
"Cabbage, with salt, drained, boiled, cooked, common",,23.0,5.51,2.79,1.9,1.27,0.06
"Okra, without salt, drained, boiled, cooked, frozen",,29.0,6.41,2.87,2.1,1.63,0.24
"Puddings, with added oil, regular, dry mix, vanilla",,369.0,92.4,0.0,0.0,0.3,1.1
"CAMPBELL'S Soup on the Go, New England Clam Chowder",,52.0,4.26,0.66,1.0,0.66,3.61
"KELLOGG'S, Gingerbread Toaster Pastries, POP-TARTS",,393.0,70.8,28.6,1.4,4.1,10.5
"Bread, toasted, commercially prepared, whole-wheat",,306.0,51.16,5.77,7.5,16.27,4.07
"Lamb, raw, pancreas, variety meats and by-products",,152.0,0.0,0.0,0.0,14.84,9.82
"Sweet potato leaves, without salt, steamed, cooked",,41.0,7.38,5.48,1.9,2.18,0.34
"Cereals, dry, Farina Hot Wheat Cereal, MALT-O-MEAL",,365.0,77.2,0.7,2.9,10.48,0.49
"Cookies, unenriched, commercially prepared, butter",,467.0,68.9,0.0,0.8,6.1,18.8
"Cookies, without lemon juice and rind, ladyfingers",,363.0,59.7,0.0,1.0,10.6,9.1
"Soup, dry, low sodium, bouillon cubes and granules",,438.0,64.88,14.47,0.2,16.7,13.89
"Bread, toasted (includes whole-grain), multi-grain",,288.0,47.11,6.94,8.1,14.52,4.6
"Cereals, dry, Butter flavor, Instant Grits, QUAKER",,369.0,74.83,0.88,4.7,8.12,5.64
"Mothbeans, with salt, boiled, cooked, mature seeds",,117.0,20.96,0.0,0.0,7.81,0.55
"Desserts, prepared-from-recipe, baked, egg custard",,104.0,11.0,11.0,0.0,5.02,4.58
"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen",,241.0,30.55,7.6,1.5,9.16,9.14
"Pork sausage, microwaved, fully cooked, link/patty",,438.0,0.62,0.62,0.0,15.12,41.66
"Cookies, soft-type, commercially prepared, oatmeal",,409.0,65.7,0.0,2.7,6.1,14.7
"Rice, cooked, enriched, regular, long-grain, white",,130.0,28.17,0.05,0.4,2.69,0.28
"Beverages, diet, lemon, ready-to-drink, black, tea",,1.0,0.22,0.0,0.0,0.0,0.0
"Fast foods, and bacon, cheese, with egg, croissant",,312.0,20.79,4.8,1.0,12.58,19.97
"Beverages, diet, peach, ready-to-drink, black, tea",,1.0,0.25,0.0,0.0,0.0,0.0
"Soup, ready-to-serve, chunky, canned, chicken rice",,53.0,5.41,0.6,0.4,5.11,1.33
"BURGER KING, CROISSAN'WICH with Sausage and Cheese",,376.0,23.0,3.36,0.7,13.73,25.45
"Cake, prepared from recipe without frosting, white",,357.0,57.2,35.49,0.8,5.4,12.4
"MURRAY, Chocolate Chip & Pecan Cookies, SUGAR FREE",,497.0,58.6,1.5,5.1,6.0,31.4
"Cookies, cake-type (includes trolley cakes), fudge",,349.0,78.3,0.0,2.8,5.0,3.7
"KELLOGG'S, Original, Waffles, Thick & Fluffy, EGGO",,295.0,37.4,4.7,1.1,6.5,13.6
"Pie, no-bake type, prepared from mix, banana cream",,251.0,31.6,0.0,0.6,3.4,12.9
"Beef, raw, pancreas, variety meats and by-products",,235.0,0.0,0.0,0.0,15.7,18.6
"Drumstick pods, with salt, drained, boiled, cooked",,36.0,8.18,0.0,4.2,2.09,0.19
"Ice cream sandwich, no sugar added, light, vanilla",,200.0,42.86,6.58,7.1,5.71,2.86
"Pork, raw, separable lean and fat, backribs, fresh",,224.0,0.0,0.0,0.0,19.07,16.33
"Fish, plain (Alaska Native), Pacific, herring eggs",,74.0,4.47,0.0,0.0,9.6,1.93
"Babyfood, prepared with whole milk, barley, cereal",,84.0,9.94,5.1,0.6,3.73,3.26
"Pork, cooked, lean and fat, low sodium, ham, cured",,172.0,0.3,0.0,0.0,22.3,8.3
"Gravy, fat free, slow roast, beef, FRANCO-AMERICAN",,34.0,5.08,0.0,0.0,1.69,0.0
"Chayote, with salt, drained, boiled, cooked, fruit",,22.0,4.5,1.89,2.8,0.62,0.48
"Lupins, without salt, boiled, cooked, mature seeds",,119.0,9.88,0.0,2.8,15.57,2.92
"Turnover, frozen, meat and cheese, filled with egg",,228.0,20.67,7.87,0.8,7.87,12.6
"Beet greens, without salt, drained, boiled, cooked",,27.0,5.46,0.6,2.9,2.57,0.2
"CAMPBELL'S Red and White, condensed, Beef Consomme",,16.0,0.81,0.81,0.0,3.23,0.0
"Doughnuts, sugared or glazed, chocolate, cake-type",,417.0,57.4,31.92,2.2,4.5,19.9
"Restaurant, arroz con leche (rice pudding), Latino",,146.0,24.92,15.26,0.5,3.2,3.69
"HORMEL ALWAYS TENDER, Fresh Pork, Center Cut Chops",,167.0,0.84,0.28,0.0,18.74,9.62
"Beef, raw, select, separable lean and fat, carcass",,278.0,0.0,0.0,0.0,17.48,22.55
"Beef, raw, choice, separable lean and fat, carcass",,291.0,0.0,0.0,0.0,17.32,24.05
"KEEBLER, Peanut Creme Filled Cookies, FUDGE SHOPPE",,537.0,57.6,30.3,3.3,7.2,31.1
"KEEBLER, Triple Fudge Filled Cookies, FUDGE SHOPPE",,533.0,64.2,42.7,3.0,3.6,29.4
"KEEBLER, Fudge-Dipped Ice Cream Cups, FUDGE SHOPPE",,485.0,73.1,25.7,2.2,6.0,18.8
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",,406.0,70.55,36.09,1.1,4.27,11.83
"Plums, without added sugar, stewed, dried (prunes)",,107.0,28.08,24.98,3.1,0.96,0.16
"Peas, without salt, drained, boiled, cooked, green",,84.0,15.63,5.93,5.5,5.36,0.22
"Peas, without salt, drained, boiled, edible-podded",,42.0,7.05,3.99,2.8,3.27,0.23
"Pork, raw, separable lean only, whole, loin, fresh",,143.0,0.0,0.0,0.0,21.43,5.66
"Nuts, without salt added, oil roasted, cashew nuts",,580.0,29.87,5.01,3.3,16.84,47.77
"Chicken, meat only, wing, BBQ, rotisserie, broiler",,184.0,0.54,0.53,0.0,28.34,7.79
"USDA Commodity Chicken, drained, meat only, canned",,162.0,0.0,0.0,0.0,27.52,5.72
"Fish, breaded and fried, cooked, Atlantic, croaker",,221.0,7.54,0.0,0.4,18.2,12.67
"Cookies, baked, refrigerated dough, chocolate chip",,492.0,68.2,0.0,1.7,4.9,22.6
"MURRAY, Vanilla Creme Sandwich Cookies, SUGAR FREE",,467.0,70.0,1.2,3.4,4.9,23.1
"Soup, condensed, canned, new england, clam chowder",,72.0,10.32,0.38,0.7,3.17,2.06
"Pork, crumbles, cooked, 84% lean / 16% fat, ground",,289.0,0.58,0.0,0.0,26.69,20.04
"Pork, crumbles, cooked, 72% lean / 28% fat, ground",,393.0,1.39,0.0,0.0,22.83,32.93
"Beverages, brewed, other than chamomile, herb, tea",,1.0,0.2,0.0,0.0,0.0,0.0
"CAMPBELL'S Red and White, condensed, Chicken Broth",,16.0,0.81,0.81,0.0,0.81,0.81
"KELLOGG'S, Chocolate Chip, FIBERPLUS Waffles, EGGO",,259.0,44.4,10.9,12.9,4.3,10.5
"McDONALD'S, Bacon Ranch Salad with Grilled Chicken",,81.0,3.64,1.73,1.0,10.28,3.14
"Ground turkey, broiled, patties, 15% fat, 85% lean",,249.0,0.0,0.0,0.0,25.88,16.2
"Soup, condensed, canned, vegetable with beef broth",,66.0,10.7,1.64,1.3,2.42,1.56
"Beef, raw, subcutaneous fat, imported, New Zealand",,685.0,0.0,0.0,0.0,8.5,72.38
"Puddings, with added oil, instant, dry mix, banana",,386.0,89.0,0.0,0.0,0.0,4.4
"Rennin, prepared with whole milk, dry mix, vanilla",,89.0,12.21,0.0,0.0,3.03,3.07
"Waffle, toasted, ready-to-heat, frozen, buttermilk",,309.0,48.39,4.41,2.6,7.42,9.49
"KEEBLER, Mini Chocolate Chip Cookies, CHIPS DELUXE",,498.0,68.0,31.0,2.4,5.2,23.1
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",,497.0,65.02,34.06,2.0,4.28,24.4
"Peaches, with added sugar, stewed, sulfured, dried",,103.0,26.6,0.0,2.4,1.06,0.22
"Candies, MILKY WAY Midnight Bar, MARS SNACKFOOD US",,443.0,71.22,57.81,2.9,3.2,17.5
"Oil, (partially hydrogenated), linoleic, sunflower",,884.0,0.0,0.0,0.0,0.0,100.0
"USDA Commodity, raw, frozen, beef patties with VPP",,225.0,3.84,0.0,1.3,15.21,16.48
"Potatoes, with salt, flesh, cooked in skin, boiled",,87.0,20.13,0.91,2.0,1.87,0.1
"TACO BELL, cheese and lettuce, Soft Taco with beef",,206.0,20.23,1.57,2.9,9.25,9.75
"Cauliflower, without salt, drained, boiled, cooked",,23.0,4.11,2.08,2.3,1.84,0.45
"Lamb, raw,  85% lean / 15% fat, ground, Australian",,255.0,0.0,0.0,0.0,17.14,20.71
"Lamb, raw, subcutaneous fat, imported, New Zealand",,703.0,0.55,0.0,0.0,3.87,76.16
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",,37.0,5.71,0.37,0.8,2.53,0.55
"Soup, canned, HEALTHY CHOICE Garden Vegetable Soup",,51.0,10.04,2.13,1.9,2.13,0.21
"Pumpkin leaves, with salt, drained, boiled, cooked",,21.0,3.39,0.69,2.7,2.72,0.22
"Pasta mix, unprepared, Italian four cheese lasagna",,355.0,70.26,6.7,2.6,12.53,2.7
"Carrots, solids and liquids, no salt added, canned",,23.0,5.36,2.46,1.8,0.59,0.14
"Cabbage, with salt, drained, boiled, cooked, savoy",,24.0,5.41,0.0,2.8,1.8,0.09
"Puddings, with added oil, regular, dry mix, banana",,387.0,88.4,0.0,0.3,0.0,5.0
